text
Best to you & Mrs. Will be praying. We love you both.❤️❤️
"Godspeed, Mr. President!"
Praying for a speedy recovery for you and the First Lady. God bless you !!
Trump is bad
So glad to see you doing well!!  Thank you for all you do!  Here’s to a speedy recovery for you and the First Lady. God bless.
"All our Prayers, well wishes and support for you, the First Lady beautiful Melania, Hope Hicks and any White House staff afflicted."
Be well Mr. President and First Lady. Prayers for you both.
"Praying for Our President And The First Lady that they both have a speedy recovery!
And praying for the Democrats who have been duped and lied to, that they may have their eyes and hearts opened!"
"Many Democrats are crossing their fingers, hoping that this horrible disease will kill our President. I am praying for those people that the light will find them, and that they will keep politics out of this for a few minutes, and just to pray for Trump, because he is a human being."
As a brown girl I support you and what you do  ✊🏽
Trump wins 2020
"We love you, Mr President."
"You are strong Mister President, we are alreday seeing You and First Lady too, in perfect Health. I am praying GOD for You Both🇮🇹🇺🇸🇮🇹🇺🇸🙏"
"Namaste Sir,Get well soon you are very strong man.Wish you good luck."
Sending prayers to both of you
"May The ABSOLUTE bless, guide and protect you, president Trump and first lady Melania. 🌸🌸💕💕🙏🍀🍀🇺🇸"
"God bless you Mr. President and God bless your lovely Wife.
We definitely need you out here
Doing what you do best."
"The Lord be with you, sir!"
I hope you’re feeling better you’re the greatest president of our time!
I'm praying for you Mr. President! 🙏 ❤
We’re praying for you. Trump for 2020
He's looking like he's been president for 4 years like the rest of them. His hair isn't the same color. Rough job.
God Bless you and your family.
U got this!!
"Mr. President, can you remember anyone who had a handkerchief in the hand when they were close to you? The weaponized virus is highly positively charged, 2.6 volts ""valance"": (The body is negative and attracts it like a magnet, that is why it spreads so easily. 6 ft distancing is a political lie. You cannot get away far enough from people to avoid this and EVERYONE has it now. We are way past ""containment"".  

Why doesn't everyone get sick? 

Because what you get sick from is not the virus which temporarily numbs the immune system, it is the accumulated pathogens and diseases you already had inside you before getting it, that are allowed out all at once. The only way out of this is clean yourself inside and out and stay clean.  

Wash hands often not so much to wash off virus, but to coat the flesh with ""surfactant"" which every soap has.  Hands having ""surfactant"" on them which the virus cannot bond with easily will be ""armor"" for you from touching things where it rests on surfaces.  (Good to wash hands BEFORE the store and also AFTER the store.) 

These small un-seeable microbes can and will fly to the human right nostril fast once permitted. (30 feet is possible!) Stings a bit, like a spark inside the right nostril. Carry hand sanitizer with you and if you feel it put sanitizer into your right nostril with your little finger quickly. No pain, but kills the virus right then and there before it replicates. The masks are wanted by those who know they have issues inside and want to prevent you from breathing on them. This virus will never be dead now that it is out there. We still have black plague in the world, but everyone is immune to it. But this is no ordinary thing, it can stop your immune system for a bit, and it will always be around even if a vaccine emerges.  The only solution longer term is clean up inside and stay that way, and elevate your energy frequency with good thinking, positive outlook, and if you like prayer.  Look, there is a power greater than we are in this world, and we ain't it.  Align with that power and you will be much safer. Truth and justice is better than lie, seal, and cheat.

++++ Rick      (I notice I never have any thumbs up any more , so I gave myself one! I know my thinking is ""not allowed"" now, censored.  Those who do this are evil but I am talking to them now unless it is a switch that simply shadow bans me  I show up.  I wish you, and even ""them"" well.)"
"ARE YOU CRAZY, who the hell thought you biology in school beacuse they failed miserably. Virsuse are basically a random mix of rna and dna that latch on to you and inject their rna into your cells, they forcibly use the mechanisms in your cell to create more copies of the virus, this process repeats over and over until your body destroys all the viral cells in your body. I have no damn clue what you are taking about stop spreading miss information about science, this magnet nonsense is not how it works. Now this virus spreads through bodily secretions so it is best to wear a mask so you dont inhale them and to social distance so you dint get exposed to them, but godnamn learn some basic science before you confuse people. Just do some basic research online I hate people who spread misinformation or mabye you are just unaware of how the science works in that case learn about it before talking about it"
We are all praying for the both of you. Get well soon.🙏❤️
